Site,Begtim,Plots,CH3F_Trt,Time,CH4,Flag,,,
upper,1426,15,n,15.38,15.39,y,,,
upper,1426,15,n,16.36,25.578,y,,,
upper,1426,15,n,17.09,27.655,y,,,
upper,1426,16,n,14.04,54.034,y,,,
upper,1426,16,n,15.38,104.575,y,,,
upper,1426,16,n,16.37,187.853,n,,,
upper,1426,16,n,17.1,197.225,y,,,
upper,1426,17,y,14.41,11.061,y,,,
upper,1426,17,y,15.4,22.145,y,,,
upper,1426,17,y,16.38,25.682,n,,,
upper,1426,17,y,17.1,39.467,y,,,
upper,1426,18,n,14.41,33.367,n,,,
upper,1426,18,n,15.4,66.053,n,,,
upper,1426,18,n,16.39,184.775,n,,,
upper,1426,18,n,17.11,197.369,n,,,
upper,1426,19,y,14.42,32.415,y,,,
upper,1426,19,y,15.41,84.644,y,,,
upper,1426,19,y,16.39,208.665,y,,,
upper,1426,19,y,17.12,278.262,y,,,
upper,1426,20,n,14.42,5.417,y,,,
upper,1426,20,n,15.42,9.075,y,,,
upper,1426,20,n,16.4,11.523,y,,,
upper,1426,20,n,17.12,13.095,y,,,
lower,1226,1,n,12.26,7.527,y,,,
lower,1226,1,n,13.29,17.7,y,,,
lower,1226,1,n,14.31,35.149,y,,,
lower,1226,1,n,15.29,49.857,y,,,
lower,1226,2,n,12.28,16.499,y,,,
lower,1226,2,n,13.3,27.934,n,,,
lower,1226,2,n,14.31,86.303,y,,,
lower,1226,2,n,15.29,110.279,y,,,
lower,1226,3,n,12.29,12.763,y,,,
lower,1226,3,n,13.3,47.234,y,,,
lower,1226,3,n,14.32,85.67,y,,,
lower,1226,3,n,15.3,122.35,y,,,
lower,1226,4,n,12.29,14.088,y,,,
lower,1226,4,n,13.31,42.008,y,,,
lower,1226,4,n,14.33,62.277,y,,,
lower,1226,4,n,15.31,83.357,y,,,
lower,1226,5,n,12.31,33.253,n,,,
lower,1226,5,n,13.32,69.702,y,,,
lower,1226,5,n,14.34,80.561,y,,,
lower,1226,5,n,15.32,86.107,y,,,
lower,1226,6,n,12.32,32.292,y,,,
lower,1226,6,n,13.33,36.569,y,,,
lower,1226,6,n,14.43,52.091,y,,,
lower,1226,6,n,15.33,57.416,y,,,
lower,1226,7,n,12.33,42.626,y,,,
lower,1226,7,n,13.34,59.696,y,,,
lower,1226,7,n,14.35,74.918,y,,,
lower,1226,7,n,15.34,107.891,n,,,
lower,1226,8,n,12.35,9.199,y,,,
lower,1226,8,n,13.35,13.982,y,,,
lower,1226,8,n,14.37,17.971,y,,,
lower,1226,8,n,15.35,22.686,y,,,
lower,1226,9,n,12.37,9.338,y,,,
lower,1226,9,n,13.35,15.54,y,,,
lower,1226,9,n,14.38,21.921,y,,,
lower,1226,9,n,15.36,28.044,y,,,
lower,1226,10,n,12.38,4.953,y,,,
lower,1226,10,n,13.36,7.583,y,,,
lower,1226,10,n,14.39,10.926,y,,,
lower,1226,10,n,15.37,15.912,y,,,
lower,1226,11,n,12.39,3.864,y,,,
lower,1226,11,n,13.37,4.089,y,,,
lower,1226,11,n,14.4,4.452,y,,,
lower,1226,11,n,15.38,9.717,n,,,
lower,1226,12,n,12.39,7.731,y,,,
lower,1226,12,n,13.38,16.556,y,,,
lower,1226,12,n,14.45,35.509,y,,,
lower,1226,12,n,15.39,49.558,y,,,
lower,1226,13,n,12.4,4.157,y,,,
lower,1226,13,n,13.39,6.027,y,,,
lower,1226,13,n,14.46,7.914,y,,,
lower,1226,13,n,15.39,9.093,y,,,
lower,1226,14,n,12.41,8.794,y,,,
lower,1226,14,n,13.4,17.981,y,,,
lower,1226,14,n,14.47,27.204,y,,,
lower,1226,14,n,15.4,33.526,y,,,
lower,1226,15,n,12.44,4.584,y,,,
lower,1226,15,n,13.41,6.975,y,,,
lower,1226,15,n,14.47,9.532,y,,,
lower,1226,15,n,15.41,11.292,y,,,
lower,1226,16,n,12.46,3.911,y,,,
lower,1226,16,n,13.42,5.151,y,,,
lower,1226,16,n,14.48,6.71,y,,,
lower,1226,16,n,15.42,7.931,y,,,
lower,1226,17,n,12.47,3.773,y,,,
lower,1226,17,n,13.42,5.57,y,,,
lower,1226,17,n,14.49,7.845,y,,,
lower,1226,17,n,15.43,9.561,y,,,
lower,1226,18,n,12.48,14.875,y,,,
lower,1226,18,n,13.43,38.788,y,,,
lower,1226,18,n,14.51,65.059,y,,,
lower,1226,18,n,15.45,84.699,y,,,
lower,1226,19,n,12.49,27.644,y,,,
lower,1226,19,n,13.45,96.913,y,,,
lower,1226,19,n,14.51,193.144,y,,,
lower,1226,19,n,15.45,260.424,y,,,
lower,1226,20,n,12.5,17.564,y,,,
lower,1226,20,n,14.52,91.546,y,,,
lower,1226,20,n,15.46,126.222,y,,,
lower,1213,1,y,12.13,4.949,n,,,
lower,1213,1,y,13.16,12.697,y,,,
lower,1213,1,y,14.15,26.105,y,,,
lower,1213,1,y,15.18,37.124,y,,,
lower,1213,2,y,12.14,13.354,n,,,
lower,1213,2,y,13.18,18.999,y,,,
lower,1213,2,y,14.16,46.09,y,,,
lower,1213,2,y,15.18,79.882,y,,,
lower,1213,3,y,12.15,8.424,n,,,
lower,1213,3,y,13.18,35.287,y,,,
lower,1213,3,y,14.16,71.338,y,,,
lower,1213,3,y,15.19,130.501,y,,,
lower,1213,4,n,12.16,7.939,y,,,
lower,1213,4,n,13.19,16.615,y,,,
lower,1213,4,n,14.17,24.068,y,,,
lower,1213,4,n,15.19,74.192,n,,,
lower,1213,5,y,12.17,12.445,n,,,
lower,1213,5,y,13.2,36.664,y,,,
lower,1213,5,y,14.18,74.473,y,,,
lower,1213,5,y,15.2,139.712,y,,,
lower,1213,6,y,12.18,8.288,y,,,
lower,1213,6,y,13.21,28.673,y,,,
lower,1213,6,y,14.19,45.877,y,,,
lower,1213,6,y,15.21,67.321,y,,,
lower,1213,7,n,12.19,16.782,y,,,
lower,1213,7,n,13.21,28.343,y,,,
lower,1213,7,n,14.19,41.069,y,,,
lower,1213,7,n,15.22,61.898,y,,,
lower,1213,8,n,12.2,6.598,y,,,
lower,1213,8,n,13.22,11.416,y,,,
lower,1213,8,n,14.2,17.809,y,,,
lower,1213,8,n,15.22,25.639,y,,,
lower,1213,9,n,12.21,6.178,y,,,
lower,1213,9,n,16.23,11.514,y,,,
lower,1213,9,n,14.21,16.987,y,,,
lower,1213,9,n,15.23,22.869,n,,,
lower,1213,10,y,12.22,4.594,n,,,
lower,1213,10,y,13.23,19.299,y,,,
lower,1213,10,y,14.21,27.588,y,,,
lower,1213,10,y,15.23,35.869,y,,,
lower,1213,11,y,12.23,4.254,y,,,
lower,1213,11,y,13.24,9.56,y,,,
lower,1213,11,y,14.22,13.989,y,,,
lower,1213,11,y,15.24,18.8,y,,,
lower,1213,12,y,12.24,7.898,n,,,
lower,1213,12,y,13.25,23.93,y,,,
lower,1213,12,y,14.23,44.869,y,,,
lower,1213,12,y,15.25,88.207,y,,,
lower,1213,13,n,12.25,3.14,y,,,
lower,1213,13,n,13.26,4.456,y,,,
lower,1213,13,n,14.24,5.735,y,,,
lower,1213,13,n,15.26,6.219,n,,,
lower,1213,14,n,12.26,4.896,y,,,
lower,1213,14,n,13.26,10.572,y,,,
lower,1213,14,n,14.24,15.729,y,,,
lower,1213,14,n,15.26,21.641,y,,,
lower,1213,15,n,12.27,3.603,y,,,
lower,1213,15,n,13.27,5.152,y,,,
lower,1213,15,n,14.25,6.678,y,,,
lower,1213,15,n,15.27,7.749,n,,,
lower,1213,16,n,12.28,2.721,y,,,
lower,1213,16,n,13.28,3.968,y,,,
lower,1213,16,n,14.25,4.765,y,,,
lower,1213,16,n,15.28,5.849,y,,,
lower,1213,17,y,12.29,6.79,y,,,
lower,1213,17,y,13.28,17.866,y,,,
lower,1213,17,y,14.26,29.534,y,,,
lower,1213,17,y,15.28,43.325,y,,,
lower,1213,18,n,12.3,5.158,y,,,
lower,1213,18,n,13.29,13.005,y,,,
lower,1213,18,n,14.27,21.147,y,,,
lower,1213,18,n,15.29,29.049,y,,,
lower,1213,19,y,12.31,17.794,y,,,
lower,1213,19,y,13.3,74.942,y,,,
lower,1213,19,y,14.27,137.604,y,,,
lower,1213,19,y,15.3,202.415,y,,,
lower,1213,20,n,12.32,11.55,y,,,
lower,1213,20,n,13.3,30.236,y,,,
lower,1213,20,n,14.28,49.72,y,,,
lower,1213,20,n,15.3,72.995,y,,,
