Date,Start_time,Plot,Volume,Area,Dead_band,Obs_length
2022-10-27,10:35:30,A,,,,
2022-10-27,10:37:30,B,,,,
2022-10-27,10:39:00,C,,,,
2022-10-27,10:40:30,D,,,,
2022-10-27,10:42:00,E,,,,
2022-10-27,10:43:30,F,,,,
