Model:	LI-7810
SN:	TG10-01087
Software Version:	2.1.41
Timestamp:	2022-11-15 09:09:42
Timezone:	EST
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668523390	191726922	8060	307	""	2022-11-15	09:43:10	nan	nan	nan	39.7873	46.2042	31.9803	37.399	0.0604235	10.9274	46.4765	-884.5	0	15.8453	128
DATA	1668523391	191726922	8064	19	""	2022-11-15	09:43:11	7023.5156	-29.421726	2033.4669	39.7877	46.2187	31.9742	37.399	0.0172975	10.9277	46.4907	-928.5	0	15.8449	 85
DATA	1668523392	191726922	8068	19	""	2022-11-15	09:43:12	7190.1919	265.68979	2155.4238	39.7857	46.2323	31.9648	37.399	0.00629899	10.9279	46.5048	-1108.25	0	15.8442	206
DATA	1668523393	191726922	8072	18	""	2022-11-15	09:43:13	7200.0225	282.62164	2162.9465	39.7857	46.2464	31.9508	37.399	0.00650578	10.9279	46.5186	-1263.5	0	15.8442	111
DATA	1668523394	191726922	8076	18	""	2022-11-15	09:43:14	7215.8457	282.60822	2162.3828	39.7865	46.2603	31.934	37.399	0.00647521	10.9282	46.5329	-959.25	0	15.8446	 78
DATA	1668523395	191726922	8080	50	""	2022-11-15	09:43:15	6007.9697	-169.91711	1633.0396	39.7861	46.2749	31.9213	37.6709	0.0375286	-2892.41	46.5466	161.5	0.331657	15.8442	226
DATA	1668523396	191409111	8084	18	""	2022-11-15	09:43:16	6902.9976	583.74365	2061.3818	39.7865	46.2878	31.9353	37.7574	0.0193604	10.9297	46.5591	2439.25	0.331657	15.8422	254
DATA	1668523397	191409111	8088	18	""	2022-11-15	09:43:17	6609.1475	919.96503	1970.5919	39.7898	46.3017	31.9721	37.8625	0.024865	10.921	46.5736	1940.25	0.518927	15.8414	148
DATA	1668523398	191409111	8092	50	""	2022-11-15	09:43:18	6416.4033	2349.7817	1982.7958	39.7889	46.3159	32.0303	38.0056	0.032598	10.8636	46.5871	2220.5	0.58135	15.841	 16
DATA	1668523399	191409111	8096	19	""	2022-11-15	09:43:19	6631.876	911.97467	1956.9307	39.7865	46.33	32.0852	38.0117	0.0252998	10.8746	46.6013	650.5	0.658911	15.8402	241
DATA	1668523400	191409111	8100	19	""	2022-11-15	09:43:20	6626.939	466.18076	1939.3694	39.7861	46.3434	32.1081	38.155	0.0263885	-1474.89	46.6152	947.5	0.736471	15.8402	 57
DATA	1668523401	191409111	8104	19	""	2022-11-15	09:43:21	6683.7891	315.7963	1925.129	39.7844	46.3575	32.129	38.1411	0.0268575	10.9044	46.6297	373	0.736471	15.8395	120
DATA	1668523402	191409111	8108	19	""	2022-11-15	09:43:22	7206.0308	481.35956	2098.4797	39.7852	46.3716	32.134	38.136	0.0119027	10.909	46.6435	-97.25	0.736471	15.8395	254
DATA	1668523403	191077947	8112	19	""	2022-11-15	09:43:23	7404.9976	530.67578	2138.2629	39.7873	46.3851	32.1282	38.1352	0.00389053	10.9091	46.6575	-134.5	0.736471	15.8395	225
DATA	1668523404	191077947	8116	18	""	2022-11-15	09:43:24	7416.8735	525.95514	2131.5222	39.7865	46.3988	32.1254	38.1348	0.0034272	10.9086	46.6705	-596.75	0.736471	15.8414	221
DATA	1668523405	191077947	8120	18	""	2022-11-15	09:43:25	7395.0264	498.5325	2129.5454	39.7861	46.4121	32.1176	38.1346	0.00330004	10.9085	46.6841	-894.25	0.736471	15.8406	193
DATA	1668523406	191077947	8124	18	""	2022-11-15	09:43:26	7030.604	398.94366	2007.09	39.7869	46.4257	32.109	38.1949	0.0163192	-1484.39	46.6978	-806.75	0.813933	15.8406	 82
DATA	1668523407	191077947	8128	18	""	2022-11-15	09:43:27	6702.8867	337.36621	1878.0251	39.7857	46.44	32.1	38.2174	0.0297109	-1328.38	46.7116	-337	0.813933	15.8395	125
DATA	1668523408	191077947	8132	19	""	2022-11-15	09:43:28	7179.2812	425.6774	2011.5728	39.7861	46.4545	32.0938	38.2127	0.0191669	10.8965	46.7258	-470.25	0.813933	15.8395	189
DATA	1668523409	191077947	8136	19	""	2022-11-15	09:43:29	7523.6694	478.16144	2129.1968	39.7873	46.4686	32.0877	38.2115	0.00382153	10.8961	46.7394	-643.5	0.813933	15.8395	255
DATA	1668523410	191077947	8140	19	""	2022-11-15	09:43:30	7486.9077	476.47849	2131.9231	39.7869	46.4824	32.0807	38.2119	0.00385722	10.8956	46.7533	-832.75	0.825466	15.8395	 41
